"Zipcode","Neighborhood","DayofWeek","Hour","Temp","Rain","RFR_pred","XGB_pred","Ensemble_pred"
"10001","Chelsea and Clinton",5,15,28,0,929,953,932
"10001","Chelsea and Clinton",2,4,18,0,269,155,295
"10001","Chelsea and Clinton",1,13,24,0,911,908,920
"10001","Chelsea and Clinton",5,14,28,0,932,977,931
"10001","Chelsea and Clinton",5,13,27,0,927,968,926
"10001","Chelsea and Clinton",2,5,18,0,306,219,327
"10001","Chelsea and Clinton",3,19,26,0,1191,1343,1168
"10001","Chelsea and Clinton",3,15,26,0,949,912,964
"10001","Chelsea and Clinton",4,3,20,0,326,196,356
"10001","Chelsea and Clinton",0,18,22,0,1039,1195,1015
"10001","Chelsea and Clinton",0,17,22,0,937,933,946
"10001","Chelsea and Clinton",4,11,23,0,993,1009,998
"10001","Chelsea and Clinton",2,14,28,0,948,979,949
"10001","Chelsea and Clinton",1,2,20,0,298,202,321
"10001","Chelsea and Clinton",1,11,22,0,961,1017,958
"10001","Chelsea and Clinton",4,21,25,0,1164,1302,1144
"10001","Chelsea and Clinton",1,4,19,0,216,130,236
"10001","Chelsea and Clinton",0,10,19,0,979,992,984
"10001","Chelsea and Clinton",0,6,18,0,613,620,617
"10001","Chelsea and Clinton",5,16,29,0,900,833,922
"10001","Chelsea and Clinton",0,0,19,0,494,556,485
"10001","Chelsea and Clinton",4,2,20,0,398,316,419
"10001","Chelsea and Clinton",6,9,21,0,590,578,598
"10001","Chelsea and Clinton",0,1,19,0,344,298,357
"10001","Chelsea and Clinton",5,6,19,0,361,233,392
"10001","Chelsea and Clinton",1,5,19,0,262,204,277
"10001","Chelsea and Clinton",2,16,30,0,885,756,921
"10001","Chelsea and Clinton",3,17,27,0,929,866,950
"10001","Chelsea and Clinton",3,16,27,0,898,763,935
"10001","Chelsea and Clinton",3,22,23,0,1082,1188,1068
"10001","Chelsea and Clinton",0,16,22,0,913,814,942
"10001","Chelsea and Clinton",1,15,25,0,893,874,904
"10001","Chelsea and Clinton",2,15,29,0,934,908,947
"10001","Chelsea and Clinton",6,0,22,0,851,1078,809
"10001","Chelsea and Clinton",1,12,23,0,940,991,937
"10001","Chelsea and Clinton",1,3,19,0,220,145,237
"10001","Chelsea and Clinton",3,0,21,0,554,613,546
"10001","Chelsea and Clinton",3,11,22,0,1001,1049,1000
"10001","Chelsea and Clinton",0,8,19,0,955,924,969
"10001","Chelsea and Clinton",3,9,20,0,989,1075,979
"10001","Chelsea and Clinton",4,22,24,0,1149,1279,1131
"10001","Chelsea and Clinton",3,20,26,0,1168,1279,1154
"10001","Chelsea and Clinton",6,20,26,0,1086,1293,1050
"10001","Chelsea and Clinton",0,19,22,0,1066,1269,1031
"10001","Chelsea and Clinton",4,4,19,0,313,156,349
"10001","Chelsea and Clinton",2,13,27,0,943,947,950
"10001","Chelsea and Clinton",4,13,25,0,955,958,962
"10001","Chelsea and Clinton",4,12,24,0,969,996,971
"10001","Chelsea and Clinton",3,18,27,0,1129,1209,1121
"10001","Chelsea and Clinton",4,6,19,0,560,529,571
"10001","Chelsea and Clinton",3,10,21,0,993,1062,986
"10001","Chelsea and Clinton",5,17,29,0,902,905,909
"10001","Chelsea and Clinton",3,2,18,0,368,308,383
"10001","Chelsea and Clinton",1,20,24,0,1021,1140,1004
"10001","Chelsea and Clinton",2,8,20,0,985,1017,987
"10001","Chelsea and Clinton",5,5,19,0,332,211,361
"10001","Chelsea and Clinton",1,19,25,0,1055,1263,1019
"10001","Chelsea and Clinton",4,1,21,0,499,501,502
"10001","Chelsea and Clinton",2,19,29,0,1096,1277,1066
"10001","Chelsea and Clinton",4,10,22,0,984,989,991
"10001","Chelsea and Clinton",0,15,22,0,952,920,966
"10001","Chelsea and Clinton",3,7,18,0,859,899,858
"10001","Chelsea and Clinton",0,9,19,0,983,986,990
"10001","Chelsea and Clinton",5,18,29,0,1089,1205,1073
"10001","Chelsea and Clinton",1,21,24,0,976,1028,973
"10001","Chelsea and Clinton",2,17,30,0,912,884,926
"10001","Chelsea and Clinton",4,5,19,0,319,189,350
"10001","Chelsea and Clinton",0,5,18,0,281,216,298
"10001","Chelsea and Clinton",6,11,23,0,894,985,883
"10001","Chelsea and Clinton",4,8,20,0,885,810,909
